"","subjnum","mean.dist","stdev.dist"
"V1",1,30.5846153846154,14.1281106032638
"V11",100,35.616,13.288885916016
"V12",101,16.832,4.18392498532518
"V13",102,37.04,15.5867853898063
"V14",103,31.2820512820513,13.932298692145
"V15",104,19.6287128712871,12.5276501119217
"V16",105,32.896,15.3303417371492
"V17",106,30.45,9.11195795522443
"V18",107,35.3365384615385,13.0959746567819
"V19",108,33.6,18.5450584231809
"V110",109,24.4078431372549,11.30179768645
"V111",11,44.9080882352941,20.579043836072
"V112",110,37.77,17.6743008091101
"V113",111,33.6,18.5450584231809
"V114",112,24.2682481751825,16.4817330073993
"V115",113,43.05,23.7608561047005
"V116",114,32.32,13.4501548937797
"V117",115,29.2788461538462,10.3305529798412
"V118",116,31.2214012738854,19.282315853304
"V119",117,30.4040816326531,14.6498749390912
"V120",118,27.0814814814815,11.0888016944278
"V121",119,34.4308943089431,9.2966425288063
"V122",12,24,10.0315159936728
"V123",120,35.533203125,16.0988938571954
"V124",121,38.0855263157895,13.304355746911
"V125",122,20.02,10.147378623531
"V126",123,36.3556338028169,13.5576757179113
"V127",124,32.6338028169014,13.83488184441
"V128",125,37.45,8.02914514236551
"V129",126,35.4935779816514,8.84477534866769
"V130",127,34.341978021978,15.1181010202229
"V131",128,30.25,8.14876917235912
"V132",129,20.7556818181818,9.03890371934594
"V133",13,30.2511961722488,15.8799924193056
"V134",130,20.4364406779661,7.53079053130316
"V135",131,29.325,19.2942231109352
"V136",132,46.1678571428572,12.7263521328792
"V137",133,29.5657894736842,16.6214676162365
"V138",134,37.2,4.70975776254132
"V139",135,40.6176470588235,14.7829096602302
"V140",136,35.1165254237288,20.5515615755858
"V141",137,15.3686605981795,6.39119009526983
"V142",138,29.43,8.77211491032807
"V143",139,51.75,22.035038672372
"V144",14,33.969414893617,14.4771416055651
"V145",140,28.928,13.2441721889175
"V146",141,11.208,4.52940293075047
"V147",142,35.7549019607843,18.3731596502846
"V148",143,25.5367231638418,9.07638397267972
"V149",144,18.666,6.29150814570519
"V150",145,49.6938775510204,27.8472345053585
"V151",146,35.531746031746,9.875125176935
"V152",147,30.7794117647059,15.1913783437611
"V153",148,32.169696969697,12.5988121298416
"V154",149,23.676724137931,2.18673514490907
"V155",150,31.9681063122924,12.7237329193124
"V156",151,32.16,12.5665581540207
"V157",152,33.1395348837209,11.9874571076178
"V158",153,29.591654247392,17.5303622862235
"V159",154,34.68,11.2921533496817
"V160",155,34.5148514851485,20.209460092435
"V161",156,42.874,5.40068495468843
